,year,date,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,poor_4554,mid_4554,rich_4554
1,1960,1/1/1960,0.034444544,0.034888866,0.033669378,0.027512773,0.027512773,0,0.071951358,0.0212253,0.022562334,0.039650565,0.040071423,0.038703315,0.031885681,0.031885681,0,0.075372524,0.02933657,0.023504887
2,1970,1/1/1970,0.049256004,0.049999842,0.048705487,0.041259454,0.041259454,0,0.113735815,0.030301039,0.021927072,0.050625619,0.050565763,0.051472699,0.048310528,0.048310528,0,0.112496244,0.033869469,0.021232801
3,1980,1/1/1980,0.106005035,0.104151278,0.112699471,0.097772077,0.097772077,0,0.241647046,0.073671536,0.035015213,0.08818511,0.085663508,0.095009469,0.091034879,0.091034879,0,0.198673212,0.063008662,0.02791567
4,1990,1/1/1990,0.150804954,0.159380947,0.169670047,0.114955328,0.118534321,0.109145367,0.326948389,0.111909686,0.049725273,0.145725716,0.140779141,0.166331032,0.13436974,0.135660926,0.132741303,0.306613778,0.114980638,0.045775014
5,2000,1/1/2000,0.156840985,0.175446157,0.173803244,0.105617717,0.110539691,0.095903467,0.343088593,0.116583707,0.049394967,0.179580605,0.184776759,0.201103501,0.14904161,0.153693129,0.142549803,0.382135424,0.142242087,0.051525102
6,2001,1/1/2001,0.157306394,0.174116038,0.178169065,0.107038861,0.111860642,0.09719692,0.342835542,0.122780629,0.040574313,0.182651296,0.190236576,0.205737069,0.148631625,0.153269214,0.141745345,0.390038503,0.146513472,0.045222356
7,2002,1/1/2002,0.156508246,0.174769314,0.179294187,0.103442191,0.109689561,0.090762555,0.341088264,0.11992642,0.038796206,0.180650434,0.192090403,0.1980484,0.146438624,0.152887973,0.13677714,0.383795081,0.146242309,0.046088809
8,2003,1/1/2003,0.153843514,0.172544835,0.17697536,0.102549904,0.110682922,0.086384859,0.333104884,0.121047474,0.039262151,0.18469755,0.194891125,0.206791893,0.14734955,0.151223164,0.141439297,0.391315123,0.151240035,0.042694244
9,2004,1/1/2004,0.154840965,0.177564546,0.177079547,0.100336652,0.105989519,0.089113878,0.334327694,0.121930136,0.03679592,0.18411122,0.193739412,0.208311707,0.145630412,0.15184099,0.135796313,0.391198995,0.150755077,0.04106048
10,2005,1/1/2005,0.152919938,0.175163528,0.17674265,0.099480659,0.107114959,0.084992049,0.329073677,0.122404041,0.037070518,0.184324607,0.197213104,0.205276153,0.143482252,0.147394622,0.137304926,0.389394323,0.150802019,0.042773004
11,2006,1/1/2006,0.161889856,0.189436729,0.184120976,0.1038355,0.110858328,0.090502687,0.337166648,0.12610861,0.057894792,0.196149876,0.210707702,0.219401459,0.150398079,0.156880446,0.139725767,0.401970263,0.159174241,0.063529944
12,2007,1/1/2007,0.160468872,0.187216411,0.18496086,0.103929416,0.111882334,0.089050427,0.335230249,0.122208583,0.05816887,0.19496022,0.212744086,0.216564008,0.14659658,0.153198306,0.135541132,0.406418939,0.154820693,0.063713415
13,2008,1/1/2008,0.161158758,0.188376635,0.189449981,0.102019194,0.111152886,0.085194381,0.333739464,0.124718312,0.060335699,0.197630596,0.216824325,0.219634986,0.146631082,0.151387631,0.13851075,0.40912531,0.156000693,0.06670997
14,2009,1/1/2009,0.160493095,0.186987579,0.190136258,0.101942607,0.111839066,0.084393074,0.330014935,0.124684182,0.059975258,0.197649298,0.217975117,0.219473441,0.144457027,0.149930372,0.135111462,0.40676466,0.157969426,0.067576579
15,2010,1/1/2010,0.163651086,0.189895804,0.197269447,0.103063847,0.111631706,0.088167422,0.328724069,0.133819591,0.05776135,0.203509987,0.224316503,0.22446156,0.150590218,0.158164195,0.137254115,0.409800694,0.167156082,0.069695121
16,2011,1/1/2011,0.166302831,0.192398917,0.200458833,0.107760526,0.117283668,0.091883495,0.32954144,0.138364058,0.058814484,0.203296318,0.225632466,0.22444827,0.148750817,0.155389126,0.137035703,0.407424031,0.169006672,0.067626499
17,2012,1/1/2012,0.165486446,0.190206333,0.203176486,0.107406662,0.115291876,0.094313675,0.331560374,0.133077364,0.056354992,0.207388897,0.228668521,0.231816829,0.152474709,0.160082775,0.13931655,0.410069163,0.174465161,0.070381301
